time,elevator1,elevator2,elevator3,floorTime1,floorTime2,floorTime3,floorTime4,floorTime5,floorTime6,floorTime7,floorTime8,floorTime9,floorTime10,floorTime0
59.90909090909091,1,2,10,17,22,34,46,58,70,82,94,106,0,12
55.45454545454545,1,3,10,17,29,27,39,51,63,75,87,99,0,12
52.27272727272727,1,4,10,17,29,41,32,44,56,68,80,92,0,12
50.36363636363637,1,5,10,17,29,41,53,37,49,61,73,85,0,12
49.72727272727273,1,6,10,17,29,41,53,65,42,54,66,78,0,12
50.36363636363637,1,7,10,17,29,41,53,65,77,47,59,71,0,12
52.27272727272727,1,8,10,17,29,41,53,65,77,89,52,64,0,12
55.45454545454545,1,9,10,17,29,41,53,65,77,89,101,57,0,12
59.90909090909091,1,10,10,17,29,41,53,65,77,89,101,113,0,12
55.45454545454545,2,3,10,24,22,27,39,51,63,75,87,99,0,12
51.63636363636363,2,4,10,24,22,34,32,44,56,68,80,92,0,12
49.09090909090909,2,5,10,24,22,34,46,37,49,61,73,85,0,12
47.81818181818182,2,6,10,24,22,34,46,58,42,54,66,78,0,12
47.81818181818182,2,7,10,24,22,34,46,58,70,47,59,71,0,12
49.09090909090909,2,8,10,24,22,34,46,58,70,82,52,64,0,12
51.63636363636363,2,9,10,24,22,34,46,58,70,82,94,57,0,12
55.45454545454545,2,10,10,24,22,34,46,58,70,82,94,106,0,12
52.27272727272727,3,4,10,24,36,27,32,44,56,68,80,92,0,12
49.09090909090909,3,5,10,24,36,27,39,37,49,61,73,85,0,12
47.18181818181818,3,6,10,24,36,27,39,51,42,54,66,78,0,12
46.54545454545455,3,7,10,24,36,27,39,51,63,47,59,71,0,12
47.18181818181818,3,8,10,24,36,27,39,51,63,75,52,64,0,12
49.09090909090909,3,9,10,24,36,27,39,51,63,75,87,57,0,12
52.27272727272727,3,10,10,24,36,27,39,51,63,75,87,99,0,12
50.36363636363637,4,5,10,24,36,48,32,37,49,61,73,85,0,12
47.81818181818182,4,6,10,24,36,48,32,44,42,54,66,78,0,12
46.54545454545455,4,7,10,24,36,48,32,44,56,47,59,71,0,12
46.54545454545455,4,8,10,24,36,48,32,44,56,68,52,64,0,12
47.81818181818182,4,9,10,24,36,48,32,44,56,68,80,57,0,12
50.36363636363637,4,10,10,24,36,48,32,44,56,68,80,92,0,12
49.72727272727273,5,6,10,24,36,48,60,37,42,54,66,78,0,12
47.81818181818182,5,7,10,24,36,48,60,37,49,47,59,71,0,12
47.18181818181818,5,8,10,24,36,48,60,37,49,61,52,64,0,12
47.81818181818182,5,9,10,24,36,48,60,37,49,61,73,57,0,12
49.72727272727273,5,10,10,24,36,48,60,37,49,61,73,85,0,12
50.36363636363637,6,7,10,24,36,48,60,72,42,47,59,71,0,12
49.09090909090909,6,8,10,24,36,48,60,72,42,54,52,64,0,12
49.09090909090909,6,9,10,24,36,48,60,72,42,54,66,57,0,12
50.36363636363637,6,10,10,24,36,48,60,72,42,54,66,78,0,12
52.27272727272727,7,8,10,24,36,48,60,72,84,47,52,64,0,12
51.63636363636363,7,9,10,24,36,48,60,72,84,47,59,57,0,12
52.27272727272727,7,10,10,24,36,48,60,72,84,47,59,71,0,12
55.45454545454545,8,9,10,24,36,48,60,72,84,96,52,57,0,12
55.45454545454545,8,10,10,24,36,48,60,72,84,96,52,64,0,12
59.90909090909091,9,10,10,24,36,48,60,72,84,96,108,57,0,12
